Date,Air Temp [ºC],Rain [in],Wind speed [mph],VECTOR WIND SPEED,VECTOR WIND DIRECTION,Wind direction [degrees clockwise from North]
2021-06-30 00:00:00,,0.0,12.32,12.26,111.2,111.2
2021-06-30 00:15:00,25.65,0.0,11.94,11.88,115.7,115.7
2021-06-30 00:30:00,25.71,0.0,9.82,9.73,126.3,126.6
2021-06-30 00:45:00,25.65,0.0,7.86,7.79,133.3,132.9
2021-06-30 01:00:00,25.83,0.0,8.19,8.16,121.1,121.1
2021-06-30 01:15:00,25.91,0.0,7.35,7.25,113.9,113.6
2021-06-30 01:30:00,25.9,0.0,6.82,6.71,106.8,106.7
2021-06-30 01:45:00,26.07,0.0,6.84,6.78,88.1,88.4
2021-06-30 02:00:00,26.05,0.0,8.25,8.22,79.94,80.1
2021-06-30 02:15:00,26.11,0.0,8.5,8.45,72.6,72.59
2021-06-30 02:30:00,26.19,0.0,8.54,8.46,74.97,74.79
2021-06-30 02:45:00,26.08,0.0,7.69,7.63,86.2,86.4
2021-06-30 03:00:00,26.05,0.0,9.06,9.02,93.2,93.3
2021-06-30 03:15:00,25.99,0.0,8.88,8.79,90.1,89.9
2021-06-30 03:30:00,25.93,0.0,8.38,8.3,85.5,85.5
2021-06-30 03:45:00,25.91,0.0,8.35,8.3,84.9,84.9
2021-06-30 04:00:00,25.87,0.0,8.37,8.29,90.3,90.1
2021-06-30 04:15:00,25.9,0.0,9.02,8.97,92.8,92.8
2021-06-30 04:30:00,25.82,0.0,9.16,9.11,86.1,86.1
2021-06-30 04:45:00,25.99,0.0,8.48,8.45,90.0,90.0
2021-06-30 05:00:00,25.98,0.0,8.04,8.0,87.9,87.7
2021-06-30 05:15:00,25.98,0.0,7.08,7.04,88.0,88.0
2021-06-30 05:30:00,26.12,0.0,6.51,6.42,79.47,79.59
2021-06-30 05:45:00,26.24,0.0,7.83,7.8,65.35,65.38
2021-06-30 06:00:00,26.26,0.0,8.71,8.68,44.48,44.59
2021-06-30 06:15:00,26.23,0.0,8.67,8.59,54.84,54.91
2021-06-30 06:30:00,26.43,0.0,8.43,8.3,62.49,61.78
2021-06-30 06:45:00,26.28,0.0,9.11,9.06,83.5,83.4
2021-06-30 07:00:00,26.37,0.0,7.75,7.72,81.3,81.3
2021-06-30 07:15:00,26.39,0.0,7.7,7.63,79.69,79.53
2021-06-30 07:30:00,26.46,0.0,6.9,6.87,83.3,83.2
2021-06-30 07:45:00,26.6,0.0,7.91,7.86,71.09,71.29
2021-06-30 08:00:00,26.56,0.0,8.15,8.12,72.0,72.02
2021-06-30 08:15:00,26.62,0.0,7.97,7.93,77.86,77.88
2021-06-30 08:30:00,26.61,0.0,8.13,8.09,73.5,73.55
2021-06-30 08:45:00,26.65,0.0,8.45,8.41,72.61,72.42
2021-06-30 09:00:00,26.72,0.0,9.1,9.05,78.39,78.44
2021-06-30 09:15:00,26.87,0.0,8.64,8.6,87.8,87.6
2021-06-30 09:30:00,26.95,0.0,9.22,9.18,85.6,85.5
2021-06-30 09:45:00,27.06,0.0,9.35,9.3,78.72,78.56
2021-06-30 10:00:00,27.1,0.0,9.7,9.65,73.96,73.89
2021-06-30 10:15:00,27.34,0.0,10.06,10.03,68.98,69.03
2021-06-30 10:30:00,27.04,0.0,16.58,16.44,93.2,92.0
2021-06-30 10:45:00,26.67,0.0,15.77,15.73,87.9,87.8
