"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"Y","L001","0044","","11-DEC-1972 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0045","","11-DEC-1972 00:00","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0076","","05-FEB-1973 16:05","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".091","0.091","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0077","","05-FEB-1973 16:15","SAMP","G","2.00","","SW","78","NITRATE-N","","","",".067","0.067","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0095","","05-MAR-1973 15:15","SAMP","G","2.00","","SW","78","NITRATE-N","","","",".031","0.031","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0112","","10-APR-1973 08:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0113","","10-APR-1973 08:55","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0130","","08-MAY-1973 10:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".007","0.007","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0131","","08-MAY-1973 10:40","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0160","","04-JUN-1973 15:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0161","","04-JUN-1973 15:55","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0179","","09-JUL-1973 10:20","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0178","","09-JUL-1973 10:25","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0197","","09-AUG-1973 00:00","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".028","0.028","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0196","","09-AUG-1973 10:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".036","0.036","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0613","","11-SEP-1973 10:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0614","","11-SEP-1973 10:45","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".043","0.043","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0631","","10-OCT-1973 11:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0632","","10-OCT-1973 11:00","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0789","","15-NOV-1973 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0786","","15-NOV-1973 10:35","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0852","","20-DEC-1973 11:10","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0853","","20-DEC-1973 11:10","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0959","","16-JAN-1974 09:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".054","0.054","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0960","","16-JAN-1974 09:50","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".046","0.046","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0941","","06-FEB-1974 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0942","","06-FEB-1974 00:00","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0977","","21-FEB-1974 09:20","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".046","0.046","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0978","","21-FEB-1974 09:20","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".03","0.030","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1037","","06-MAR-1974 08:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".019","0.019","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1038","","06-MAR-1974 08:50","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".015","0.015","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1055","","20-MAR-1974 09:20","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".07","0.070","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1056","","20-MAR-1974 09:20","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".063","0.063","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
