Date,WS [MPH],QC
2021-01-01 00:00:00,12.35,QA'ed
2021-01-01 00:15:00,11.41,QA'ed
2021-01-01 00:30:00,10.06,QA'ed
2021-01-01 00:45:00,9.28,QA'ed
2021-01-01 01:00:00,10.27,QA'ed
2021-01-01 01:15:00,10.84,QA'ed
2021-01-01 01:30:00,9.19,QA'ed
2021-01-01 01:45:00,7.06,QA'ed
2021-01-01 02:00:00,6.73,QA'ed
2021-01-01 02:15:00,8.48,QA'ed
2021-01-01 02:30:00,7.88,QA'ed
2021-01-01 02:45:00,7.82,QA'ed
2021-01-01 03:00:00,9.06,QA'ed
2021-01-01 03:15:00,9.01,QA'ed
2021-01-01 03:30:00,8.42,QA'ed
2021-01-01 03:45:00,9.45,QA'ed
2021-01-01 04:00:00,9.8,QA'ed
2021-01-01 04:15:00,9.49,QA'ed
2021-01-01 04:30:00,8.89,QA'ed
2021-01-01 04:45:00,10.46,QA'ed
2021-01-01 05:00:00,10.43,QA'ed
2021-01-01 05:15:00,10.9,QA'ed
2021-01-01 05:30:00,10.89,QA'ed
2021-01-01 05:45:00,11.57,QA'ed
2021-01-01 06:00:00,12.1,QA'ed
2021-01-01 06:15:00,12.67,QA'ed
2021-01-01 06:30:00,11.12,QA'ed
2021-01-01 06:45:00,9.98,QA'ed
2021-01-01 07:00:00,10.09,QA'ed
2021-01-01 07:15:00,9.98,QA'ed
2021-01-01 07:30:00,9.8,QA'ed
2021-01-01 07:45:00,9.11,QA'ed
2021-01-01 08:00:00,8.17,QA'ed
2021-01-01 08:15:00,7.78,QA'ed
2021-01-01 08:30:00,6.77,QA'ed
2021-01-01 08:45:00,6.02,QA'ed
2021-01-01 09:00:00,5.23,QA'ed
2021-01-01 09:15:00,5.31,QA'ed
2021-01-01 09:30:00,6.33,QA'ed
2021-01-01 09:45:00,8.8,QA'ed
2021-01-01 10:00:00,11.19,QA'ed
2021-01-01 10:15:00,12.47,QA'ed
2021-01-01 10:30:00,14.57,QA'ed
2021-01-01 10:45:00,12.86,QA'ed
2021-01-01 11:00:00,15.09,QA'ed
2021-01-01 11:15:00,15.33,QA'ed
2021-01-01 11:30:00,14.54,QA'ed
2021-01-01 11:45:00,12.76,QA'ed
2021-01-01 12:00:00,12.09,QA'ed
2021-01-01 12:15:00,11.9,QA'ed
2021-01-01 12:30:00,13.34,QA'ed
2021-01-01 12:45:00,12.84,QA'ed
2021-01-01 13:00:00,11.86,QA'ed
2021-01-01 13:15:00,12.57,QA'ed
2021-01-01 13:30:00,11.96,QA'ed
2021-01-01 13:45:00,10.3,QA'ed
2021-01-01 14:00:00,8.84,QA'ed
2021-01-01 14:15:00,8.93,QA'ed
2021-01-01 14:30:00,9.0,QA'ed
2021-01-01 14:45:00,7.6,QA'ed
2021-01-01 15:00:00,8.01,QA'ed
2021-01-01 15:15:00,10.85,QA'ed
2021-01-01 15:30:00,11.22,QA'ed
2021-01-01 15:45:00,10.35,QA'ed
2021-01-01 16:00:00,11.25,QA'ed
2021-01-01 16:15:00,9.52,QA'ed
2021-01-01 16:30:00,10.04,QA'ed
2021-01-01 16:45:00,10.47,QA'ed
2021-01-01 17:00:00,9.73,QA'ed
2021-01-01 17:15:00,9.96,QA'ed
2021-01-01 17:30:00,9.66,QA'ed
2021-01-01 17:45:00,8.61,QA'ed
2021-01-01 18:00:00,9.82,QA'ed
2021-01-01 18:15:00,10.19,QA'ed
2021-01-01 18:30:00,8.64,QA'ed
2021-01-01 18:45:00,7.23,QA'ed
2021-01-01 19:00:00,8.33,QA'ed
2021-01-01 19:15:00,8.08,QA'ed
2021-01-01 19:30:00,8.03,QA'ed
2021-01-01 19:45:00,8.18,QA'ed
2021-01-01 20:00:00,7.84,QA'ed
2021-01-01 20:15:00,7.42,QA'ed
2021-01-01 20:30:00,6.94,QA'ed
2021-01-01 20:45:00,6.07,QA'ed
2021-01-01 21:00:00,4.88,QA'ed
2021-01-01 21:15:00,4.06,QA'ed
2021-01-01 21:30:00,3.92,QA'ed
2021-01-01 21:45:00,4.16,QA'ed
2021-01-01 22:00:00,4.54,QA'ed
2021-01-01 22:15:00,3.74,QA'ed
2021-01-01 22:30:00,3.94,QA'ed
2021-01-01 22:45:00,4.04,QA'ed
2021-01-01 23:00:00,4.8,QA'ed
2021-01-01 23:15:00,5.2,QA'ed
2021-01-01 23:30:00,6.52,QA'ed
2021-01-01 23:45:00,6.9,QA'ed
2021-01-02 00:00:00,6.95,QA'ed
2021-01-02 00:15:00,6.84,QA'ed
2021-01-02 00:30:00,6.98,QA'ed
2021-01-02 00:45:00,6.93,QA'ed
2021-01-02 01:00:00,7.28,QA'ed
2021-01-02 01:15:00,7.39,QA'ed
2021-01-02 01:30:00,7.8,QA'ed
2021-01-02 01:45:00,7.03,QA'ed
2021-01-02 02:00:00,6.52,QA'ed
2021-01-02 02:15:00,6.62,QA'ed
2021-01-02 02:30:00,5.77,QA'ed
2021-01-02 02:45:00,4.72,QA'ed
2021-01-02 03:00:00,4.21,QA'ed
2021-01-02 03:15:00,4.31,QA'ed
2021-01-02 03:30:00,4.35,QA'ed
2021-01-02 03:45:00,4.63,QA'ed
2021-01-02 04:00:00,3.91,QA'ed
2021-01-02 04:15:00,4.18,QA'ed
2021-01-02 04:30:00,6.52,QA'ed
2021-01-02 04:45:00,6.65,QA'ed
2021-01-02 05:00:00,6.31,QA'ed
2021-01-02 05:15:00,6.77,QA'ed
2021-01-02 05:30:00,8.8,QA'ed
2021-01-02 05:45:00,8.81,QA'ed
2021-01-02 06:00:00,8.32,QA'ed
2021-01-02 06:15:00,8.11,QA'ed
2021-01-02 06:30:00,8.67,QA'ed
2021-01-02 06:45:00,8.31,QA'ed
2021-01-02 07:00:00,6.73,QA'ed
2021-01-02 07:15:00,5.55,QA'ed
2021-01-02 07:30:00,5.97,QA'ed
2021-01-02 07:45:00,8.52,QA'ed
2021-01-02 08:00:00,9.38,QA'ed
2021-01-02 08:15:00,8.02,QA'ed
2021-01-02 08:30:00,8.4,QA'ed
2021-01-02 08:45:00,6.93,QA'ed
2021-01-02 09:00:00,5.86,QA'ed
2021-01-02 09:15:00,6.17,QA'ed
2021-01-02 09:30:00,7.32,QA'ed
2021-01-02 09:45:00,7.46,QA'ed
