Daily Date,S154C_C,S154_C,S65E_S,S84X_S,S84_S,S65EX1_S,FISHCR
30-JUN-2021,0.71,2.13,798.32,1.19,8.88,0.0,11.9
01-JUL-2021,2.69,104.73,836.17,0.46,103.3,0.0,15.6
02-JUL-2021,3.18,87.12,964.32,92.53,286.68,0.0,13.1
03-JUL-2021,3.0,47.41,878.76,333.68,1058.53,0.0,10.7
04-JUL-2021,3.49,53.73,1009.38,418.76,1464.79,0.0,21.9
05-JUL-2021,3.37,40.89,895.5,351.97,1153.64,0.0,26.5
06-JUL-2021,3.55,65.33,1026.4,338.52,1158.09,0.0,62.8
07-JUL-2021,3.24,51.31,1063.57,426.91,1128.15,0.0,119.0
08-JUL-2021,2.77,58.65,1218.0,353.23,1013.53,0.0,98.6
09-JUL-2021,2.46,76.48,978.52,277.87,878.01,0.0,123.0
10-JUL-2021,2.32,68.94,1158.96,216.75,687.71,0.0,128.0
11-JUL-2021,1.84,70.58,1137.9,189.9,535.28,0.0,116.0
12-JUL-2021,1.28,67.94,1096.07,204.82,501.14,67.56,135.0
13-JUL-2021,0.84,87.53,689.03,202.21,460.96,637.97,115.0
14-JUL-2021,0.55,73.66,1222.36,199.87,472.53,0.0,136.0
15-JUL-2021,0.26,72.05,1196.32,154.78,415.57,0.0,146.0
16-JUL-2021,0.02,73.91,1158.1,152.85,417.6,0.0,182.0
17-JUL-2021,0.0,70.63,1167.04,161.82,404.85,0.0,199.0
18-JUL-2021,0.0,51.71,1152.92,162.16,451.12,0.0,247.0
19-JUL-2021,0.0,66.61,1170.35,200.73,465.14,0.0,281.0
20-JUL-2021,0.0,45.62,1459.34,163.06,433.3,0.0,373.0
21-JUL-2021,,39.83,1457.02,169.0,443.58,0.0,458.0
22-JUL-2021,,49.91,1372.07,121.57,365.23,0.0,461.0
23-JUL-2021,,37.99,1343.02,138.58,384.2,0.0,440.0
24-JUL-2021,,30.57,1345.85,250.73,587.25,0.0,443.0
25-JUL-2021,,36.92,1344.64,293.79,736.42,0.0,452.0
26-JUL-2021,,24.57,1716.21,305.69,955.48,0.0,412.0
27-JUL-2021,,41.52,1611.26,339.72,953.51,0.0,358.0
28-JUL-2021,,41.19,1616.32,313.32,935.64,0.0,334.0
29-JUL-2021,,33.97,1654.42,360.49,1039.26,0.0,329.0
